start,end,Catharus guttatus_Hermit Thrush,file,Seiurus aurocapilla_Ovenbird,Piranga olivacea_Scarlet Tanager,Troglodytes hiemalis_Winter Wren,Hylocichla mustelina_Wood Thrush,Setophaga virens_Black-throated Green Warbler,Regulus satrapa_Golden-crowned Kinglet,Setophaga tigrina_Cape May Warbler,Helmitheros vermivorum_Worm-eating Warbler,Setophaga fusca_Blackburnian Warbler,Botaurus lentiginosus_American Bittern,Dryobates pubescens_Downy Woodpecker,Setophaga castanea_Bay-breasted Warbler,Bombycilla cedrorum_Cedar Waxwing,Catharus fuscescens_Veery,Setophaga striata_Blackpoll Warbler,Sphyrapicus varius_Yellow-bellied Sapsucker,Salpinctes obsoletus_Rock Wren,Dryocopus pileatus_Pileated Woodpecker,Bubo virginianus_Great Horned Owl,Sitta canadensis_Red-breasted Nuthatch,Strix varia_Barred Owl,Ardea herodias_Great Blue Heron,Zonotrichia leucophrys_White-crowned Sparrow,Tamias striatus_Eastern Chipmunk,Certhia americana_Brown Creeper,Cyanocitta cristata_Blue Jay,Corvus corax_Common Raven,Charadrius semipalmatus_Semipalmated Plover,Myiarchus crinitus_Great Crested Flycatcher,Buteo lineatus_Red-shouldered Hawk,Buteo platypterus_Broad-winged Hawk,Aegolius acadicus_Northern Saw-whet Owl,Poecile atricapillus_Black-capped Chickadee,Vireo solitarius_Blue-headed Vireo,Haemorhous mexicanus_House Finch,Dryobates villosus_Hairy Woodpecker,Turdus migratorius_American Robin,Setophaga caerulescens_Black-throated Blue Warbler,Chaetura pelagica_Chimney Swift,Lithobates clamitans_Green Frog,Corvus brachyrhynchos_American Crow,Baeolophus bicolor_Tufted Titmouse,Junco hyemalis_Dark-eyed Junco,Pheucticus ludovicianus_Rose-breasted Grosbeak,Melanerpes erythrocephalus_Red-headed Woodpecker,Sitta carolinensis_White-breasted Nuthatch,Contopus virens_Eastern Wood-Pewee,Vireo flavifrons_Yellow-throated Vireo,Gavia immer_Common Loon,Pipilo erythrophthalmus_Eastern Towhee,Leiothlypis ruficapilla_Nashville Warbler,Vireo olivaceus_Red-eyed Vireo,Anas platyrhynchos_Mallard,Aix sponsa_Wood Duck,Human vocal_Human vocal
0.0,3.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
