start,end,file,Catharus guttatus_Hermit Thrush,Hylocichla mustelina_Wood Thrush,Piranga olivacea_Scarlet Tanager,Seiurus aurocapilla_Ovenbird,Turdus migratorius_American Robin,Sphyrapicus varius_Yellow-bellied Sapsucker,Poecile atricapillus_Black-capped Chickadee,Setophaga virens_Black-throated Green Warbler,Sitta canadensis_Red-breasted Nuthatch,Setophaga fusca_Blackburnian Warbler,Catharus fuscescens_Veery,Chaetura pelagica_Chimney Swift,Regulus satrapa_Golden-crowned Kinglet,Setophaga caerulescens_Black-throated Blue Warbler,Cyanocitta cristata_Blue Jay,Zonotrichia leucophrys_White-crowned Sparrow,Setophaga castanea_Bay-breasted Warbler,Dryocopus pileatus_Pileated Woodpecker,Pheucticus ludovicianus_Rose-breasted Grosbeak,Vireo flavifrons_Yellow-throated Vireo,Aegolius acadicus_Northern Saw-whet Owl
0.0,3.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_203300.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_215600.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_211300.WAV,0.7221594452857971,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_211300.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_211300.WAV,0.6909375786781311,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_211300.WAV,0.7301494479179382,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_211300.WAV,,0.724618136882782,,,,,,,,,,,,,,,,,,,
