start,end,Troglodytes hiemalis_Winter Wren,Regulus satrapa_Golden-crowned Kinglet,file,Buteo platypterus_Broad-winged Hawk,Setophaga magnolia_Magnolia Warbler,Zonotrichia albicollis_White-throated Sparrow,Bombycilla cedrorum_Cedar Waxwing,Vireo solitarius_Blue-headed Vireo,Poecile atricapillus_Black-capped Chickadee,Falco columbarius_Merlin,Haemorhous mexicanus_House Finch,Junco hyemalis_Dark-eyed Junco,Certhia americana_Brown Creeper,Sitta canadensis_Red-breasted Nuthatch,Bubo virginianus_Great Horned Owl,Sayornis saya_Say's Phoebe,Cyanocitta cristata_Blue Jay,Leiothlypis ruficapilla_Nashville Warbler,Setophaga virens_Black-throated Green Warbler,Salpinctes obsoletus_Rock Wren,Accipiter striatus_Sharp-shinned Hawk,Setophaga castanea_Bay-breasted Warbler,Catharus guttatus_Hermit Thrush,Zonotrichia leucophrys_White-crowned Sparrow,Setophaga americana_Northern Parula,Corvus brachyrhynchos_American Crow,Dryobates villosus_Hairy Woodpecker,Human non-vocal_Human non-vocal,Vireo flavifrons_Yellow-throated Vireo,Setophaga fusca_Blackburnian Warbler,Dryocopus pileatus_Pileated Woodpecker,Lanius borealis_Northern Shrike,Cardellina canadensis_Canada Warbler,Pseudacris crucifer_Spring Peeper,Sayornis phoebe_Eastern Phoebe,Lithobates palustris_Pickerel Frog,Aegolius acadicus_Northern Saw-whet Owl,Dumetella carolinensis_Gray Catbird,Strix varia_Barred Owl,Hylocichla mustelina_Wood Thrush,Setophaga ruticilla_American Redstart,Spinus tristis_American Goldfinch,Pipilo erythrophthalmus_Eastern Towhee,Chaetura pelagica_Chimney Swift,Setophaga caerulescens_Black-throated Blue Warbler,Seiurus aurocapilla_Ovenbird,Piranga olivacea_Scarlet Tanager,Conocephalus fasciatus_Slender Meadow Katydid,Amblycorypha longinicta_Common Virtuoso Katydid,Geothlypis philadelphia_Mourning Warbler,Setophaga coronata_Yellow-rumped Warbler,Accipiter cooperii_Cooper's Hawk,Corvus corax_Common Raven,Mniotilta varia_Black-and-white Warbler,Passerella iliaca_Fox Sparrow,Vireo olivaceus_Red-eyed Vireo,Agelaius phoeniceus_Red-winged Blackbird,Dryobates pubescens_Downy Woodpecker,Pheucticus ludovicianus_Rose-breasted Grosbeak,Aix sponsa_Wood Duck,Setophaga pensylvanica_Chestnut-sided Warbler,Helmitheros vermivorum_Worm-eating Warbler,Dryophytes versicolor_Gray Treefrog,Empidonax flaviventris_Yellow-bellied Flycatcher,Anaxyrus americanus_American Toad,Quiscalus quiscula_Common Grackle,Nycticorax nycticorax_Black-crowned Night-Heron,Setophaga palmarum_Palm Warbler,Branta canadensis_Canada Goose,Melospiza georgiana_Swamp Sparrow,Empidonax minimus_Least Flycatcher,Baeolophus bicolor_Tufted Titmouse,Fireworks_Fireworks,Microcentrum rhombifolium_Greater Angle-wing,Passerina cyanea_Indigo Bunting,Setophaga striata_Blackpoll Warbler,Colaptes auratus_Northern Flicker,Bucephala clangula_Common Goldeneye,Pinicola enucleator_Pine Grosbeak,Myiarchus crinitus_Great Crested Flycatcher,Anthus rubescens_American Pipit,Scolopax minor_American Woodcock,Anas acuta_Northern Pintail,Geothlypis trichas_Common Yellowthroat,Megaceryle alcyon_Belted Kingfisher,Engine_Engine,Loxia curvirostra_Red Crossbill,Coccothraustes vespertinus_Evening Grosbeak
0.0,3.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,0.568601667881012,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,0.8000754714012146,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,0.9051423072814941,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,0.4599665105342865,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
