start,end,Zonotrichia leucophrys_White-crowned Sparrow,file,Salpinctes obsoletus_Rock Wren,Contopus virens_Eastern Wood-Pewee,Hylocichla mustelina_Wood Thrush,Catharus guttatus_Hermit Thrush,Strix varia_Barred Owl,Seiurus aurocapilla_Ovenbird,Engine_Engine,Haemorhous mexicanus_House Finch,Catharus fuscescens_Veery,Bubo virginianus_Great Horned Owl,Geothlypis philadelphia_Mourning Warbler,Coccyzus erythropthalmus_Black-billed Cuckoo,Vireo olivaceus_Red-eyed Vireo,Colaptes auratus_Northern Flicker,Pheucticus ludovicianus_Rose-breasted Grosbeak,Piranga olivacea_Scarlet Tanager,Setophaga fusca_Blackburnian Warbler,Certhia americana_Brown Creeper,Junco hyemalis_Dark-eyed Junco,Troglodytes hiemalis_Winter Wren,Cyanocitta cristata_Blue Jay,Turdus migratorius_American Robin,Amblycorypha longinicta_Common Virtuoso Katydid,Buteo platypterus_Broad-winged Hawk,Dryobates pubescens_Downy Woodpecker,Setophaga striata_Blackpoll Warbler,Melanerpes erythrocephalus_Red-headed Woodpecker,Sitta canadensis_Red-breasted Nuthatch,Poecile atricapillus_Black-capped Chickadee,Vireo solitarius_Blue-headed Vireo,Tamias striatus_Eastern Chipmunk,Myiarchus crinitus_Great Crested Flycatcher,Setophaga castanea_Bay-breasted Warbler,Ardea herodias_Great Blue Heron,Anthus rubescens_American Pipit,Corvus corax_Common Raven,Protonotaria citrea_Prothonotary Warbler,Chordeiles minor_Common Nighthawk,Setophaga pinus_Pine Warbler,Cardellina canadensis_Canada Warbler,Human non-vocal_Human non-vocal,Microcentrum rhombifolium_Greater Angle-wing,Dryobates villosus_Hairy Woodpecker,Helmitheros vermivorum_Worm-eating Warbler,Regulus satrapa_Golden-crowned Kinglet,Vireo flavifrons_Yellow-throated Vireo,Bombycilla cedrorum_Cedar Waxwing,Dryocopus pileatus_Pileated Woodpecker,Setophaga ruticilla_American Redstart,Euphagus cyanocephalus_Brewer's Blackbird,Antrostomus vociferus_Eastern Whip-poor-will,Quiscalus quiscula_Common Grackle,Setophaga caerulescens_Black-throated Blue Warbler,Aegolius acadicus_Northern Saw-whet Owl,Setophaga virens_Black-throated Green Warbler
0.0,3.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,0.5021163821220398,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,0.47575169801712036,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,,20250715_213200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
