start,end,file,Strix varia_Barred Owl,Lithobates clamitans_Green Frog,Salpinctes obsoletus_Rock Wren,Catharus guttatus_Hermit Thrush,Zonotrichia leucophrys_White-crowned Sparrow,Bubo virginianus_Great Horned Owl,Geothlypis trichas_Common Yellowthroat,Hylocichla mustelina_Wood Thrush,Setophaga americana_Northern Parula,Aegolius acadicus_Northern Saw-whet Owl,Myiarchus crinitus_Great Crested Flycatcher,Haemorhous mexicanus_House Finch,Seiurus aurocapilla_Ovenbird,Coccyzus erythropthalmus_Black-billed Cuckoo,Empidonax alnorum_Alder Flycatcher,Amblycorypha longinicta_Common Virtuoso Katydid,Poecile atricapillus_Black-capped Chickadee,Vireo olivaceus_Red-eyed Vireo,Setophaga virens_Black-throated Green Warbler,Piranga olivacea_Scarlet Tanager,Pipilo erythrophthalmus_Eastern Towhee,Turdus migratorius_American Robin,Pinicola enucleator_Pine Grosbeak,Chordeiles minor_Common Nighthawk,Cyanocitta cristata_Blue Jay,Melospiza georgiana_Swamp Sparrow,Sitta canadensis_Red-breasted Nuthatch,Regulus satrapa_Golden-crowned Kinglet,Bombycilla cedrorum_Cedar Waxwing,Mniotilta varia_Black-and-white Warbler,Colaptes auratus_Northern Flicker,Melospiza melodia_Song Sparrow,Setophaga castanea_Bay-breasted Warbler,Setophaga ruticilla_American Redstart,Catharus fuscescens_Veery,Buteo platypterus_Broad-winged Hawk,Vireo solitarius_Blue-headed Vireo,Engine_Engine,Lithobates catesbeianus_American Bullfrog,Junco hyemalis_Dark-eyed Junco,Empidonax flaviventris_Yellow-bellied Flycatcher,Helmitheros vermivorum_Worm-eating Warbler,Gavia immer_Common Loon,Contopus virens_Eastern Wood-Pewee,Quiscalus quiscula_Common Grackle,Parkesia noveboracensis_Northern Waterthrush,Megaceryle alcyon_Belted Kingfisher,Dryobates villosus_Hairy Woodpecker,Dryocopus pileatus_Pileated Woodpecker,Megascops asio_Eastern Screech-Owl,Vireo gilvus_Warbling Vireo,Dumetella carolinensis_Gray Catbird,Coccyzus americanus_Yellow-billed Cuckoo,Zenaida macroura_Mourning Dove,Vireo flavifrons_Yellow-throated Vireo,Zonotrichia albicollis_White-throated Sparrow,Spinus tristis_American Goldfinch,Fireworks_Fireworks,Coccothraustes vespertinus_Evening Grosbeak,Melanerpes carolinus_Red-bellied Woodpecker,Scolopax minor_American Woodcock,Microcentrum rhombifolium_Greater Angle-wing,Human non-vocal_Human non-vocal,Sphyrapicus varius_Yellow-bellied Sapsucker,Conocephalus fasciatus_Slender Meadow Katydid,Pheucticus ludovicianus_Rose-breasted Grosbeak,Setophaga coronata_Yellow-rumped Warbler,Antrostomus vociferus_Eastern Whip-poor-will,Ardea herodias_Great Blue Heron,Setophaga caerulescens_Black-throated Blue Warbler,Spinus pinus_Pine Siskin
0.0,3.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250715_205700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
