start,end,file,Cyanocitta cristata_Blue Jay,Tyrannus tyrannus_Eastern Kingbird,Troglodytes hiemalis_Winter Wren,Turdus migratorius_American Robin,Catharus guttatus_Hermit Thrush,Sitta canadensis_Red-breasted Nuthatch,Setophaga coronata_Yellow-rumped Warbler,Megaceryle alcyon_Belted Kingfisher,Hylocichla mustelina_Wood Thrush,Melospiza georgiana_Swamp Sparrow,Setophaga palmarum_Palm Warbler,Human non-vocal_Human non-vocal,Lithobates clamitans_Green Frog,Regulus satrapa_Golden-crowned Kinglet,Anas platyrhynchos_Mallard,Colaptes auratus_Northern Flicker,Bombycilla cedrorum_Cedar Waxwing,Vireo solitarius_Blue-headed Vireo,Vireo flavifrons_Yellow-throated Vireo,Poecile atricapillus_Black-capped Chickadee,Cardinalis cardinalis_Northern Cardinal,Coccothraustes vespertinus_Evening Grosbeak,Haemorhous mexicanus_House Finch,Pheucticus ludovicianus_Rose-breasted Grosbeak,Salpinctes obsoletus_Rock Wren,Zonotrichia leucophrys_White-crowned Sparrow,Catharus fuscescens_Veery,Sitta carolinensis_White-breasted Nuthatch,Quiscalus quiscula_Common Grackle,Pinicola enucleator_Pine Grosbeak,Dryobates pubescens_Downy Woodpecker,Mniotilta varia_Black-and-white Warbler,Piranga olivacea_Scarlet Tanager,Certhia americana_Brown Creeper,Zonotrichia albicollis_White-throated Sparrow,Cardellina canadensis_Canada Warbler,Lithobates catesbeianus_American Bullfrog,Agelaius phoeniceus_Red-winged Blackbird,Ardea herodias_Great Blue Heron,Buteo jamaicensis_Red-tailed Hawk,Nycticorax nycticorax_Black-crowned Night-Heron,Euphagus carolinus_Rusty Blackbird,Vireo olivaceus_Red-eyed Vireo,Setophaga striata_Blackpoll Warbler,Setophaga magnolia_Magnolia Warbler,Myiarchus crinitus_Great Crested Flycatcher,Accipiter cooperii_Cooper's Hawk,Pica hudsonia_Black-billed Magpie,Geothlypis trichas_Common Yellowthroat,Haemorhous purpureus_Purple Finch,Leiothlypis ruficapilla_Nashville Warbler,Seiurus aurocapilla_Ovenbird,Sayornis phoebe_Eastern Phoebe,Leiothlypis peregrina_Tennessee Warbler,Empidonax alnorum_Alder Flycatcher,Buteo platypterus_Broad-winged Hawk,Pandion haliaetus_Osprey,Pseudacris crucifer_Spring Peeper,Catharus ustulatus_Swainson's Thrush,Sayornis saya_Say's Phoebe,Gavia immer_Common Loon,Junco hyemalis_Dark-eyed Junco,Pluvialis squatarola_Black-bellied Plover,Fulica americana_American Coot,Parkesia noveboracensis_Northern Waterthrush,Geothlypis philadelphia_Mourning Warbler,Mareca strepera_Gadwall,Spatula clypeata_Northern Shoveler
0.0,3.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
