start,end,file,Cyanocitta cristata_Blue Jay,Catharus guttatus_Hermit Thrush,Coccothraustes vespertinus_Evening Grosbeak,Colaptes auratus_Northern Flicker,Empidonax flaviventris_Yellow-bellied Flycatcher,Pipilo erythrophthalmus_Eastern Towhee,Parkesia noveboracensis_Northern Waterthrush,Poecile atricapillus_Black-capped Chickadee,Sitta canadensis_Red-breasted Nuthatch,Bubo virginianus_Great Horned Owl,Hylocichla mustelina_Wood Thrush,Dryophytes versicolor_Gray Treefrog,Corvus corax_Common Raven,Mniotilta varia_Black-and-white Warbler,Aegolius acadicus_Northern Saw-whet Owl,Dryobates villosus_Hairy Woodpecker,Setophaga striata_Blackpoll Warbler,Spizella pusilla_Field Sparrow,Regulus satrapa_Golden-crowned Kinglet,Certhia americana_Brown Creeper,Zonotrichia leucophrys_White-crowned Sparrow,Salpinctes obsoletus_Rock Wren,Passerina cyanea_Indigo Bunting,Zonotrichia albicollis_White-throated Sparrow,Junco hyemalis_Dark-eyed Junco,Geothlypis trichas_Common Yellowthroat,Contopus virens_Eastern Wood-Pewee,Haemorhous mexicanus_House Finch,Seiurus aurocapilla_Ovenbird,Strix varia_Barred Owl,Quiscalus quiscula_Common Grackle,Engine_Engine,Empidonax alnorum_Alder Flycatcher,Cardellina canadensis_Canada Warbler,Coturnicops noveboracensis_Yellow Rail,Falco columbarius_Merlin,Bombycilla cedrorum_Cedar Waxwing,Corvus brachyrhynchos_American Crow,Microcentrum rhombifolium_Greater Angle-wing,Tyrannus tyrannus_Eastern Kingbird,Dog_Dog,Loxia curvirostra_Red Crossbill,Leiothlypis ruficapilla_Nashville Warbler,Spinus tristis_American Goldfinch,Helmitheros vermivorum_Worm-eating Warbler,Ammospiza leconteii_LeConte's Sparrow,Gavia immer_Common Loon,Setophaga caerulescens_Black-throated Blue Warbler,Melospiza melodia_Song Sparrow,Acanthis flammea_Common Redpoll,Odocoileus virginianus_White-tailed Deer,Lithobates clamitans_Green Frog,Setophaga ruticilla_American Redstart,Leiothlypis peregrina_Tennessee Warbler,Sayornis saya_Say's Phoebe,Buteo platypterus_Broad-winged Hawk,Pinicola enucleator_Pine Grosbeak,Setophaga tigrina_Cape May Warbler,Piranga olivacea_Scarlet Tanager,Setophaga magnolia_Magnolia Warbler,Buteo lineatus_Red-shouldered Hawk,Dryocopus pileatus_Pileated Woodpecker,Setophaga virens_Black-throated Green Warbler,Scudderia texensis_Texas Bush Katydid,Amblycorypha longinicta_Common Virtuoso Katydid,Dumetella carolinensis_Gray Catbird,Melanerpes erythrocephalus_Red-headed Woodpecker,Megascops asio_Eastern Screech-Owl,Setophaga castanea_Bay-breasted Warbler,Vireo solitarius_Blue-headed Vireo,Sterna hirundo_Common Tern,Sialia sialis_Eastern Bluebird
0.0,3.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
