start,end,file,Setophaga striata_Blackpoll Warbler,Contopus virens_Eastern Wood-Pewee,Troglodytes hiemalis_Winter Wren,Vireo olivaceus_Red-eyed Vireo,Poecile atricapillus_Black-capped Chickadee,Setophaga virens_Black-throated Green Warbler,Seiurus aurocapilla_Ovenbird,Microcentrum rhombifolium_Greater Angle-wing,Regulus satrapa_Golden-crowned Kinglet,Vireo flavifrons_Yellow-throated Vireo,Zonotrichia leucophrys_White-crowned Sparrow,Certhia americana_Brown Creeper,Bombycilla cedrorum_Cedar Waxwing,Coccothraustes vespertinus_Evening Grosbeak,Colaptes auratus_Northern Flicker,Myadestes townsendi_Townsend's Solitaire,Catharus guttatus_Hermit Thrush,Cyanocitta cristata_Blue Jay,Vireo solitarius_Blue-headed Vireo,Sayornis saya_Say's Phoebe,Sialia sialis_Eastern Bluebird,Contopus cooperi_Olive-sided Flycatcher,Sitta carolinensis_White-breasted Nuthatch,Piranga olivacea_Scarlet Tanager,Dryobates villosus_Hairy Woodpecker,Pinicola enucleator_Pine Grosbeak,Mniotilta varia_Black-and-white Warbler,Bubo virginianus_Great Horned Owl,Setophaga caerulescens_Black-throated Blue Warbler,Empidonax minimus_Least Flycatcher,Cardellina canadensis_Canada Warbler,Setophaga fusca_Blackburnian Warbler,Pipilo erythrophthalmus_Eastern Towhee,Hylocichla mustelina_Wood Thrush,Setophaga ruticilla_American Redstart,Pluvialis squatarola_Black-bellied Plover,Buteo platypterus_Broad-winged Hawk,Toxostoma rufum_Brown Thrasher,Turdus migratorius_American Robin,Scolopax minor_American Woodcock,Chordeiles minor_Common Nighthawk,Anthus rubescens_American Pipit,Myiarchus crinitus_Great Crested Flycatcher,Amblycorypha longinicta_Common Virtuoso Katydid,Sayornis phoebe_Eastern Phoebe
0.0,3.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250731_044800.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250731_205600.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
