start,end,file,Lithobates clamitans_Green Frog,Microcentrum rhombifolium_Greater Angle-wing,Sitta carolinensis_White-breasted Nuthatch,Zonotrichia leucophrys_White-crowned Sparrow,Certhia americana_Brown Creeper,Dryobates villosus_Hairy Woodpecker,Cyanocitta cristata_Blue Jay,Oecanthus exclamationis_Davis's Tree Cricket,Pseudacris crucifer_Spring Peeper,Catharus guttatus_Hermit Thrush,Zonotrichia albicollis_White-throated Sparrow,Anas platyrhynchos_Mallard,Lithobates catesbeianus_American Bullfrog,Sitta canadensis_Red-breasted Nuthatch,Nycticorax nycticorax_Black-crowned Night-Heron,Hylocichla mustelina_Wood Thrush,Regulus satrapa_Golden-crowned Kinglet,Dryocopus pileatus_Pileated Woodpecker,Dryobates pubescens_Downy Woodpecker,Bubo virginianus_Great Horned Owl,Tamias striatus_Eastern Chipmunk,Turdus migratorius_American Robin,Junco hyemalis_Dark-eyed Junco,Pheucticus ludovicianus_Rose-breasted Grosbeak,Mareca strepera_Gadwall,Coccothraustes vespertinus_Evening Grosbeak,Lithobates sylvaticus_Wood Frog,Anaxyrus americanus_American Toad,Aegolius acadicus_Northern Saw-whet Owl,Corvus brachyrhynchos_American Crow,Conocephalus fasciatus_Slender Meadow Katydid,Branta bernicla_Brant,Strix varia_Barred Owl,Anser albifrons_Greater White-fronted Goose,Human non-vocal_Human non-vocal,Poecile atricapillus_Black-capped Chickadee,Empidonax flaviventris_Yellow-bellied Flycatcher,Megaceryle alcyon_Belted Kingfisher
0.0,3.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250921_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
