start,end,file,Microcentrum rhombifolium_Greater Angle-wing,Poecile atricapillus_Black-capped Chickadee,Zonotrichia leucophrys_White-crowned Sparrow,Catharus guttatus_Hermit Thrush,Cyanocitta cristata_Blue Jay,Branta canadensis_Canada Goose,Anser caerulescens_Snow Goose,Aegolius acadicus_Northern Saw-whet Owl,Corvus corax_Common Raven,Zonotrichia albicollis_White-throated Sparrow,Sitta canadensis_Red-breasted Nuthatch,Turdus migratorius_American Robin,Anser albifrons_Greater White-fronted Goose,Setophaga coronata_Yellow-rumped Warbler,Sitta carolinensis_White-breasted Nuthatch,Meleagris gallopavo_Wild Turkey,Strix varia_Barred Owl,Dryocopus pileatus_Pileated Woodpecker,Dryobates pubescens_Downy Woodpecker,Corvus brachyrhynchos_American Crow,Spinus pinus_Pine Siskin,Regulus satrapa_Golden-crowned Kinglet,Gavia immer_Common Loon,Engine_Engine,Bubo virginianus_Great Horned Owl,Oecanthus exclamationis_Davis's Tree Cricket,Scudderia texensis_Texas Bush Katydid,Branta hutchinsii_Cackling Goose,Quiscalus quiscula_Common Grackle,Certhia americana_Brown Creeper,Nycticorax nycticorax_Black-crowned Night-Heron,Bombycilla cedrorum_Cedar Waxwing,Corvus ossifragus_Fish Crow,Dryobates villosus_Hairy Woodpecker,Actitis macularius_Spotted Sandpiper,Odocoileus virginianus_White-tailed Deer,Fireworks_Fireworks,Anas platyrhynchos_Mallard,Mareca strepera_Gadwall,Lithobates catesbeianus_American Bullfrog,Bonasa umbellus_Ruffed Grouse,Sterna hirundo_Common Tern,Sayornis saya_Say's Phoebe,Chordeiles minor_Common Nighthawk,Tyrannus tyrannus_Eastern Kingbird,Scolopax minor_American Woodcock,Spinus tristis_American Goldfinch,Junco hyemalis_Dark-eyed Junco,Setophaga striata_Blackpoll Warbler,Anthus rubescens_American Pipit,Canis latrans_Coyote,Vermivora chrysoptera_Golden-winged Warbler,Melospiza georgiana_Swamp Sparrow,Zenaida macroura_Mourning Dove,Siren_Siren,Salpinctes obsoletus_Rock Wren,Euphagus cyanocephalus_Brewer's Blackbird,Euphagus carolinus_Rusty Blackbird,Empidonax flaviventris_Yellow-bellied Flycatcher,Amblycorypha longinicta_Common Virtuoso Katydid,Pseudacris crucifer_Spring Peeper,Coccothraustes vespertinus_Evening Grosbeak,Spizelloides arborea_American Tree Sparrow,Tringa melanoleuca_Greater Yellowlegs,Setophaga tigrina_Cape May Warbler,Acanthis flammea_Common Redpoll
0.0,3.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251001_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
