start,end,file,Branta canadensis_Canada Goose,Dog_Dog,Engine_Engine,Cyanocitta cristata_Blue Jay,Anser albifrons_Greater White-fronted Goose,Ardea herodias_Great Blue Heron,Anser caerulescens_Snow Goose,Branta hutchinsii_Cackling Goose,Megascops asio_Eastern Screech-Owl,Bubo virginianus_Great Horned Owl,Aegolius acadicus_Northern Saw-whet Owl,Siren_Siren,Human vocal_Human vocal,Dryobates pubescens_Downy Woodpecker,Corvus brachyrhynchos_American Crow,Dryocopus pileatus_Pileated Woodpecker,Poecile atricapillus_Black-capped Chickadee,Bombycilla cedrorum_Cedar Waxwing,Anthus rubescens_American Pipit,Aix sponsa_Wood Duck,Zonotrichia leucophrys_White-crowned Sparrow,Zonotrichia albicollis_White-throated Sparrow,Strix varia_Barred Owl,Tamias striatus_Eastern Chipmunk,Dumetella carolinensis_Gray Catbird,Buteo jamaicensis_Red-tailed Hawk,Corvus corax_Common Raven,Sitta carolinensis_White-breasted Nuthatch,Cardinalis cardinalis_Northern Cardinal,Nycticorax nycticorax_Black-crowned Night-Heron,Regulus satrapa_Golden-crowned Kinglet,Colaptes auratus_Northern Flicker,Haliaeetus leucocephalus_Bald Eagle,Buteo lineatus_Red-shouldered Hawk,Troglodytes hiemalis_Winter Wren,Certhia americana_Brown Creeper,Dryobates villosus_Hairy Woodpecker,Junco hyemalis_Dark-eyed Junco,Corvus ossifragus_Fish Crow,Sciurus carolinensis_Eastern Gray Squirrel,Sitta canadensis_Red-breasted Nuthatch,Setophaga striata_Blackpoll Warbler,Anas platyrhynchos_Mallard,Scolopax minor_American Woodcock,Zenaida macroura_Mourning Dove,Sayornis phoebe_Eastern Phoebe,Gavia immer_Common Loon,Canis latrans_Coyote,Turdus migratorius_American Robin,Catharus guttatus_Hermit Thrush,Cygnus buccinator_Trumpeter Swan,Antrostomus vociferus_Eastern Whip-poor-will,Megaceryle alcyon_Belted Kingfisher,Quiscalus quiscula_Common Grackle,Vireo flavifrons_Yellow-throated Vireo,Haemorhous purpureus_Purple Finch,Setophaga coronata_Yellow-rumped Warbler,Spizelloides arborea_American Tree Sparrow,Melanerpes carolinus_Red-bellied Woodpecker,Cygnus columbianus_Tundra Swan,Pandion haliaetus_Osprey,Seiurus aurocapilla_Ovenbird,Baeolophus bicolor_Tufted Titmouse,Anas crecca_Green-winged Teal,Anas rubripes_American Black Duck,Corthylio calendula_Ruby-crowned Kinglet,Sialia sialis_Eastern Bluebird,Branta bernicla_Brant,Aythya americana_Redhead,Contopus virens_Eastern Wood-Pewee,Antigone canadensis_Sandhill Crane,Hylocichla mustelina_Wood Thrush,Mareca strepera_Gadwall,Buteo platypterus_Broad-winged Hawk,Spinus tristis_American Goldfinch,Fireworks_Fireworks
0.0,3.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250924_180000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250924_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250924_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250924_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250924_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250924_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
