start,end,file,Branta canadensis_Canada Goose,Strix varia_Barred Owl,Zonotrichia leucophrys_White-crowned Sparrow,Buteo lineatus_Red-shouldered Hawk,Sitta canadensis_Red-breasted Nuthatch,Cyanocitta cristata_Blue Jay,Engine_Engine,Setophaga striata_Blackpoll Warbler,Dryobates villosus_Hairy Woodpecker,Certhia americana_Brown Creeper,Pseudacris crucifer_Spring Peeper,Catharus guttatus_Hermit Thrush,Bombycilla cedrorum_Cedar Waxwing,Zonotrichia albicollis_White-throated Sparrow,Setophaga coronata_Yellow-rumped Warbler,Megaceryle alcyon_Belted Kingfisher,Regulus satrapa_Golden-crowned Kinglet,Aegolius acadicus_Northern Saw-whet Owl,Dryocopus pileatus_Pileated Woodpecker,Actitis macularius_Spotted Sandpiper,Vireo solitarius_Blue-headed Vireo,Anser albifrons_Greater White-fronted Goose,Vireo flavifrons_Yellow-throated Vireo,Corvus corax_Common Raven,Accipiter striatus_Sharp-shinned Hawk,Megascops asio_Eastern Screech-Owl,Anthus rubescens_American Pipit,Euphagus cyanocephalus_Brewer's Blackbird,Junco hyemalis_Dark-eyed Junco,Anser caerulescens_Snow Goose,Poecile atricapillus_Black-capped Chickadee,Dryobates pubescens_Downy Woodpecker,Coccothraustes vespertinus_Evening Grosbeak,Corvus brachyrhynchos_American Crow,Gavia immer_Common Loon,Columba livia_Rock Pigeon,Sayornis saya_Say's Phoebe,Pinicola enucleator_Pine Grosbeak,Bubo virginianus_Great Horned Owl,Passerella iliaca_Fox Sparrow
0.0,3.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,53.0,20250921_120002.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250921_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250921_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250921_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250921_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
