start,end,file,Turdus migratorius_American Robin,Melospiza georgiana_Swamp Sparrow,Cyanocitta cristata_Blue Jay,Zonotrichia albicollis_White-throated Sparrow,Certhia americana_Brown Creeper,Regulus satrapa_Golden-crowned Kinglet,Sitta carolinensis_White-breasted Nuthatch,Bombycilla cedrorum_Cedar Waxwing,Catharus guttatus_Hermit Thrush,Branta canadensis_Canada Goose,Aegolius acadicus_Northern Saw-whet Owl,Sayornis phoebe_Eastern Phoebe,Quiscalus quiscula_Common Grackle,Megascops asio_Eastern Screech-Owl,Botaurus lentiginosus_American Bittern,Dryobates pubescens_Downy Woodpecker,Setophaga striata_Blackpoll Warbler,Colaptes auratus_Northern Flicker,Setophaga coronata_Yellow-rumped Warbler,Helmitheros vermivorum_Worm-eating Warbler,Sitta canadensis_Red-breasted Nuthatch,Lithobates catesbeianus_American Bullfrog,Corvus ossifragus_Fish Crow,Acris crepitans_Northern Cricket Frog,Tringa melanoleuca_Greater Yellowlegs,Branta hutchinsii_Cackling Goose,Dryocopus pileatus_Pileated Woodpecker,Poecile atricapillus_Black-capped Chickadee,Nycticorax nycticorax_Black-crowned Night-Heron,Salpinctes obsoletus_Rock Wren,Cardinalis cardinalis_Northern Cardinal,Zonotrichia leucophrys_White-crowned Sparrow,Engine_Engine,Acanthis flammea_Common Redpoll,Haemorhous mexicanus_House Finch,Melospiza melodia_Song Sparrow,Tyrannus verticalis_Western Kingbird,Corvus brachyrhynchos_American Crow,Parkesia noveboracensis_Northern Waterthrush,Bubo virginianus_Great Horned Owl,Dryobates villosus_Hairy Woodpecker,Spinus tristis_American Goldfinch,Pinicola enucleator_Pine Grosbeak,Aix sponsa_Wood Duck,Scudderia texensis_Texas Bush Katydid,Ammospiza leconteii_LeConte's Sparrow,Junco hyemalis_Dark-eyed Junco,Anas platyrhynchos_Mallard,Myadestes townsendi_Townsend's Solitaire,Sialia sialis_Eastern Bluebird,Dog_Dog,Conocephalus fasciatus_Slender Meadow Katydid,Melanerpes carolinus_Red-bellied Woodpecker,Euphagus carolinus_Rusty Blackbird,Megaceryle alcyon_Belted Kingfisher,Human vocal_Human vocal,Archilochus colubris_Ruby-throated Hummingbird,Coccothraustes vespertinus_Evening Grosbeak,Anser albifrons_Greater White-fronted Goose,Setophaga tigrina_Cape May Warbler,Passerella iliaca_Fox Sparrow,Anthus rubescens_American Pipit,Passerculus sandwichensis_Savannah Sparrow,Mareca strepera_Gadwall,Accipiter cooperii_Cooper's Hawk,Sayornis saya_Say's Phoebe,Anas crecca_Green-winged Teal,Amblycorypha longinicta_Common Virtuoso Katydid,Coturnicops noveboracensis_Yellow Rail,Cygnus buccinator_Trumpeter Swan,Euphagus cyanocephalus_Brewer's Blackbird,Branta bernicla_Brant,Spizelloides arborea_American Tree Sparrow,Lithobates clamitans_Green Frog
0.0,3.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251004_180100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
