start,end,Branta canadensis_Canada Goose,Engine_Engine,Corvus ossifragus_Fish Crow,file,Branta hutchinsii_Cackling Goose,Dryobates villosus_Hairy Woodpecker,Anser caerulescens_Snow Goose,Poecile atricapillus_Black-capped Chickadee,Anser albifrons_Greater White-fronted Goose,Cyanocitta cristata_Blue Jay,Dryobates pubescens_Downy Woodpecker,Bombycilla cedrorum_Cedar Waxwing,Sitta carolinensis_White-breasted Nuthatch,Turdus migratorius_American Robin,Zonotrichia albicollis_White-throated Sparrow,Melospiza melodia_Song Sparrow,Certhia americana_Brown Creeper,Aix sponsa_Wood Duck,Archilochus colubris_Ruby-throated Hummingbird,Nycticorax nycticorax_Black-crowned Night-Heron,Megascops asio_Eastern Screech-Owl,Aegolius acadicus_Northern Saw-whet Owl,Antigone canadensis_Sandhill Crane,Aythya americana_Redhead,Meleagris gallopavo_Wild Turkey,Sayornis saya_Say's Phoebe,Branta bernicla_Brant,Regulus satrapa_Golden-crowned Kinglet,Euphagus carolinus_Rusty Blackbird,Sturnus vulgaris_European Starling,Siren_Siren,Corvus brachyrhynchos_American Crow,Quiscalus quiscula_Common Grackle,Anthus rubescens_American Pipit,Haliaeetus leucocephalus_Bald Eagle,Microcentrum rhombifolium_Greater Angle-wing,Canis latrans_Coyote,Buteo platypterus_Broad-winged Hawk,Tyrannus tyrannus_Eastern Kingbird,Charadrius vociferus_Killdeer,Anas acuta_Northern Pintail,Setophaga coronata_Yellow-rumped Warbler,Spizelloides arborea_American Tree Sparrow,Botaurus lentiginosus_American Bittern,Cygnus columbianus_Tundra Swan,Megaceryle alcyon_Belted Kingfisher,Ardea herodias_Great Blue Heron,Pseudacris crucifer_Spring Peeper,Zonotrichia leucophrys_White-crowned Sparrow,Dog_Dog,Troglodytes hiemalis_Winter Wren,Cygnus olor_Mute Swan,Odocoileus virginianus_White-tailed Deer,Human vocal_Human vocal,Corvus corax_Common Raven,Gavia immer_Common Loon,Anas platyrhynchos_Mallard,Melospiza georgiana_Swamp Sparrow,Passerella iliaca_Fox Sparrow,Tamias striatus_Eastern Chipmunk,Sayornis phoebe_Eastern Phoebe,Setophaga striata_Blackpoll Warbler,Spinus tristis_American Goldfinch,Junco hyemalis_Dark-eyed Junco,Cygnus buccinator_Trumpeter Swan,Scolopax minor_American Woodcock,Sitta canadensis_Red-breasted Nuthatch,Passerculus sandwichensis_Savannah Sparrow,Setophaga fusca_Blackburnian Warbler,Buteo jamaicensis_Red-tailed Hawk,Dryocopus pileatus_Pileated Woodpecker,Tringa melanoleuca_Greater Yellowlegs,Ammospiza leconteii_LeConte's Sparrow,Bubo virginianus_Great Horned Owl,Strix varia_Barred Owl,Corthylio calendula_Ruby-crowned Kinglet,Mareca americana_American Wigeon,Clangula hyemalis_Long-tailed Duck,Anas crecca_Green-winged Teal,Tringa solitaria_Solitary Sandpiper,Spizella passerina_Chipping Sparrow,Cardinalis cardinalis_Northern Cardinal,Mergus merganser_Common Merganser,Coccyzus erythropthalmus_Black-billed Cuckoo,Seiurus aurocapilla_Ovenbird,Setophaga tigrina_Cape May Warbler,Larus delawarensis_Ring-billed Gull,Mareca strepera_Gadwall,Empidonax flaviventris_Yellow-bellied Flycatcher,Setophaga palmarum_Palm Warbler,Catharus guttatus_Hermit Thrush,Larus argentatus_Herring Gull,Setophaga virens_Black-throated Green Warbler,Melanerpes carolinus_Red-bellied Woodpecker,Lithobates catesbeianus_American Bullfrog
0.0,3.0,0.4133743941783905,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,0.6802142858505249,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,0.8731773495674133,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,0.5084592700004578,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,,0.475894957780838,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,0.8795869946479797,,,20251004_120100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
