start,end,file,Branta canadensis_Canada Goose,Branta hutchinsii_Cackling Goose,Anser caerulescens_Snow Goose,Anser albifrons_Greater White-fronted Goose,Dog_Dog,Aegolius acadicus_Northern Saw-whet Owl,Engine_Engine,Strix varia_Barred Owl,Bubo virginianus_Great Horned Owl,Gavia immer_Common Loon,Corvus corax_Common Raven,Nycticorax nycticorax_Black-crowned Night-Heron,Cardinalis cardinalis_Northern Cardinal,Canis latrans_Coyote,Regulus satrapa_Golden-crowned Kinglet,Sitta canadensis_Red-breasted Nuthatch,Sitta carolinensis_White-breasted Nuthatch,Zenaida macroura_Mourning Dove,Zonotrichia leucophrys_White-crowned Sparrow,Salpinctes obsoletus_Rock Wren,Poecile atricapillus_Black-capped Chickadee,Catharus guttatus_Hermit Thrush,Cyanocitta cristata_Blue Jay,Spizelloides arborea_American Tree Sparrow,Junco hyemalis_Dark-eyed Junco,Anas platyrhynchos_Mallard,Certhia americana_Brown Creeper,Siren_Siren,Hylocichla mustelina_Wood Thrush,Dryobates villosus_Hairy Woodpecker,Human vocal_Human vocal,Turdus migratorius_American Robin,Melanerpes carolinus_Red-bellied Woodpecker,Corvus brachyrhynchos_American Crow,Conocephalus fasciatus_Slender Meadow Katydid,Sialia sialis_Eastern Bluebird,Perisoreus canadensis_Canada Jay,Seiurus aurocapilla_Ovenbird,Dryobates pubescens_Downy Woodpecker,Corvus ossifragus_Fish Crow,Bonasa umbellus_Ruffed Grouse,Megascops asio_Eastern Screech-Owl,Columba livia_Rock Pigeon,Lithobates catesbeianus_American Bullfrog
0.0,3.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251116_170100.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
