start,end,file,Megascops asio_Eastern Screech-Owl,Zonotrichia leucophrys_White-crowned Sparrow,Sitta canadensis_Red-breasted Nuthatch,Regulus satrapa_Golden-crowned Kinglet,Poecile atricapillus_Black-capped Chickadee,Strix varia_Barred Owl,Sitta carolinensis_White-breasted Nuthatch,Dryocopus pileatus_Pileated Woodpecker,Cyanocitta cristata_Blue Jay,Certhia americana_Brown Creeper,Melanerpes carolinus_Red-bellied Woodpecker,Engine_Engine,Aegolius acadicus_Northern Saw-whet Owl,Cygnus buccinator_Trumpeter Swan,Branta canadensis_Canada Goose,Canis latrans_Coyote,Gavia stellata_Red-throated Loon,Gavia immer_Common Loon,Bubo virginianus_Great Horned Owl,Lanius borealis_Northern Shrike,Bombycilla cedrorum_Cedar Waxwing,Anser albifrons_Greater White-fronted Goose,Anas platyrhynchos_Mallard,Siren_Siren,Buteo lineatus_Red-shouldered Hawk,Corvus corax_Common Raven,Zenaida macroura_Mourning Dove,Dryobates pubescens_Downy Woodpecker,Coccothraustes vespertinus_Evening Grosbeak,Anser caerulescens_Snow Goose,Human vocal_Human vocal,Amblycorypha longinicta_Common Virtuoso Katydid
0.0,3.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20251119_170000.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20251119_170200.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
