start,end,file,Conocephalus fasciatus_Slender Meadow Katydid,Lithobates catesbeianus_American Bullfrog,Lithobates clamitans_Green Frog,Zonotrichia leucophrys_White-crowned Sparrow,Bubo virginianus_Great Horned Owl,Poecile atricapillus_Black-capped Chickadee,Sitta carolinensis_White-breasted Nuthatch,Dryobates pubescens_Downy Woodpecker,Anas platyrhynchos_Mallard,Mergus merganser_Common Merganser,Dryocopus pileatus_Pileated Woodpecker,Branta bernicla_Brant,Lithobates sylvaticus_Wood Frog,Scudderia texensis_Texas Bush Katydid
0.0,3.0,20251114_170000.WAV,,,,,,,,,,,,,,
3.0,6.0,20251114_170000.WAV,,,,,,,,,,,,,,
6.0,9.0,20251114_170000.WAV,,,,,,,,,,,,,,
9.0,12.0,20251114_170000.WAV,,,,,,,,,,,,,,
12.0,15.0,20251114_170000.WAV,,,,,,,,,,,,,,
15.0,18.0,20251114_170000.WAV,,,,,,,,,,,,,,
18.0,21.0,20251114_170000.WAV,,,,,,,,,,,,,,
21.0,24.0,20251114_170000.WAV,,,,,,,,,,,,,,
24.0,27.0,20251114_170000.WAV,,,,,,,,,,,,,,
27.0,30.0,20251114_170000.WAV,,,,,,,,,,,,,,
30.0,33.0,20251114_170000.WAV,,,,,,,,,,,,,,
33.0,36.0,20251114_170000.WAV,,,,,,,,,,,,,,
36.0,39.0,20251114_170000.WAV,,,,,,,,,,,,,,
39.0,42.0,20251114_170000.WAV,,,,,,,,,,,,,,
42.0,45.0,20251114_170000.WAV,,,,,,,,,,,,,,
45.0,48.0,20251114_170000.WAV,,,,,,,,,,,,,,
48.0,51.0,20251114_170000.WAV,,,,,,,,,,,,,,
51.0,54.0,20251114_170000.WAV,,,,,,,,,,,,,,
54.0,55.0,20251114_170000.WAV,,,,,,,,,,,,,,
0.0,3.0,20251114_170100.WAV,,,,,,,,,,,,,,
3.0,6.0,20251114_170100.WAV,,,,,,,,,,,,,,
6.0,9.0,20251114_170100.WAV,,,,,,,,,,,,,,
9.0,12.0,20251114_170100.WAV,,,,,,,,,,,,,,
12.0,15.0,20251114_170100.WAV,,,,,,,,,,,,,,
15.0,18.0,20251114_170100.WAV,,,,,,,,,,,,,,
18.0,21.0,20251114_170100.WAV,,,,,,,,,,,,,,
21.0,24.0,20251114_170100.WAV,,,,,,,,,,,,,,
24.0,27.0,20251114_170100.WAV,,,,,,,,,,,,,,
27.0,30.0,20251114_170100.WAV,,,,,,,,,,,,,,
30.0,33.0,20251114_170100.WAV,,,,,,,,,,,,,,
33.0,36.0,20251114_170100.WAV,,,,,,,,,,,,,,
36.0,39.0,20251114_170100.WAV,,,,,,,,,,,,,,
39.0,42.0,20251114_170100.WAV,,,,,,,,,,,,,,
42.0,45.0,20251114_170100.WAV,,,,,,,,,,,,,,
45.0,48.0,20251114_170100.WAV,,,,,,,,,,,,,,
48.0,51.0,20251114_170100.WAV,,,,,,,,,,,,,,
51.0,54.0,20251114_170100.WAV,,,,,,,,,,,,,,
54.0,55.0,20251114_170100.WAV,,,,,,,,,,,,,,
0.0,3.0,20251114_170200.WAV,,,,,,,,,,,,,,
