start,end,file,Setophaga fusca_Blackburnian Warbler,Poecile atricapillus_Black-capped Chickadee,Zonotrichia leucophrys_White-crowned Sparrow,Catharus guttatus_Hermit Thrush,Catharus fuscescens_Veery,Piranga olivacea_Scarlet Tanager,Vireo olivaceus_Red-eyed Vireo,Buteo platypterus_Broad-winged Hawk,Setophaga ruticilla_American Redstart,Hylocichla mustelina_Wood Thrush,Salpinctes obsoletus_Rock Wren,Setophaga castanea_Bay-breasted Warbler,Seiurus aurocapilla_Ovenbird,Turdus migratorius_American Robin,Sitta canadensis_Red-breasted Nuthatch,Setophaga virens_Black-throated Green Warbler,Troglodytes hiemalis_Winter Wren,Regulus satrapa_Golden-crowned Kinglet,Mniotilta varia_Black-and-white Warbler,Haemorhous mexicanus_House Finch,Dryobates villosus_Hairy Woodpecker,Pipilo erythrophthalmus_Eastern Towhee,Setophaga americana_Northern Parula,Junco hyemalis_Dark-eyed Junco,Corvus brachyrhynchos_American Crow,Vireo solitarius_Blue-headed Vireo,Cyanocitta cristata_Blue Jay,Parkesia noveboracensis_Northern Waterthrush,Setophaga magnolia_Magnolia Warbler,Myiarchus crinitus_Great Crested Flycatcher,Bubo virginianus_Great Horned Owl,Contopus virens_Eastern Wood-Pewee,Setophaga tigrina_Cape May Warbler,Canis latrans_Coyote,Strix varia_Barred Owl,Certhia americana_Brown Creeper,Setophaga striata_Blackpoll Warbler,Baeolophus bicolor_Tufted Titmouse,Molothrus ater_Brown-headed Cowbird,Setophaga caerulescens_Black-throated Blue Warbler,Microcentrum rhombifolium_Greater Angle-wing,Vireo flavifrons_Yellow-throated Vireo,Pheucticus ludovicianus_Rose-breasted Grosbeak,Setophaga coronata_Yellow-rumped Warbler,Sitta carolinensis_White-breasted Nuthatch,Bombycilla cedrorum_Cedar Waxwing,Gavia immer_Common Loon,Siren_Siren,Quiscalus quiscula_Common Grackle,Pinicola enucleator_Pine Grosbeak,Dryobates pubescens_Downy Woodpecker,Colaptes auratus_Northern Flicker,Agelaius phoeniceus_Red-winged Blackbird,Dryocopus pileatus_Pileated Woodpecker,Picoides dorsalis_American Three-toed Woodpecker,Scolopax minor_American Woodcock,Engine_Engine,Tyrannus tyrannus_Eastern Kingbird,Accipiter cooperii_Cooper's Hawk,Megaceryle alcyon_Belted Kingfisher,Helmitheros vermivorum_Worm-eating Warbler,Cardinalis cardinalis_Northern Cardinal,Megascops asio_Eastern Screech-Owl,Fireworks_Fireworks,Geothlypis trichas_Common Yellowthroat,Anas platyrhynchos_Mallard,Odocoileus virginianus_White-tailed Deer,Coccyzus americanus_Yellow-billed Cuckoo,Spinus tristis_American Goldfinch,Haemorhous purpureus_Purple Finch,Catharus ustulatus_Swainson's Thrush,Chaetura pelagica_Chimney Swift,Empidonax minimus_Least Flycatcher,Mergus serrator_Red-breasted Merganser,Coccyzus erythropthalmus_Black-billed Cuckoo,Aegolius acadicus_Northern Saw-whet Owl
0.0,3.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250709_221700.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
