start,end,Seiurus aurocapilla_Ovenbird,Melospiza georgiana_Swamp Sparrow,file,Pheucticus ludovicianus_Rose-breasted Grosbeak,Junco hyemalis_Dark-eyed Junco,Catharus fuscescens_Veery,Salpinctes obsoletus_Rock Wren,Hylocichla mustelina_Wood Thrush,Vireo olivaceus_Red-eyed Vireo,Mniotilta varia_Black-and-white Warbler,Cardinalis cardinalis_Northern Cardinal,Geothlypis trichas_Common Yellowthroat,Haemorhous mexicanus_House Finch,Setophaga fusca_Blackburnian Warbler,Antrostomus vociferus_Eastern Whip-poor-will,Bombycilla cedrorum_Cedar Waxwing,Bubo virginianus_Great Horned Owl,Piranga olivacea_Scarlet Tanager,Contopus virens_Eastern Wood-Pewee,Strix varia_Barred Owl,Catharus guttatus_Hermit Thrush,Zonotrichia leucophrys_White-crowned Sparrow,Cyanocitta cristata_Blue Jay,Sitta carolinensis_White-breasted Nuthatch,Corvus corax_Common Raven,Sphyrapicus varius_Yellow-bellied Sapsucker,Sitta canadensis_Red-breasted Nuthatch,Setophaga magnolia_Magnolia Warbler,Lithobates catesbeianus_American Bullfrog,Spinus tristis_American Goldfinch,Turdus migratorius_American Robin,Myiarchus crinitus_Great Crested Flycatcher,Dryocopus pileatus_Pileated Woodpecker,Aegolius acadicus_Northern Saw-whet Owl,Pipilo erythrophthalmus_Eastern Towhee,Microcentrum rhombifolium_Greater Angle-wing,Agelaius phoeniceus_Red-winged Blackbird,Setophaga ruticilla_American Redstart,Haemorhous purpureus_Purple Finch,Vireo gilvus_Warbling Vireo,Setophaga tigrina_Cape May Warbler,Anthus rubescens_American Pipit,Empidonax minimus_Least Flycatcher,Setophaga petechia_Yellow Warbler,Lithobates clamitans_Green Frog,Vireo flavifrons_Yellow-throated Vireo,Sialia sialis_Eastern Bluebird,Setophaga virens_Black-throated Green Warbler,Passerella iliaca_Fox Sparrow,Accipiter cooperii_Cooper's Hawk,Zonotrichia albicollis_White-throated Sparrow,Coccothraustes vespertinus_Evening Grosbeak,Contopus cooperi_Olive-sided Flycatcher,Poecile atricapillus_Black-capped Chickadee,Fireworks_Fireworks,Baeolophus bicolor_Tufted Titmouse,Corvus brachyrhynchos_American Crow,Quiscalus quiscula_Common Grackle,Setophaga castanea_Bay-breasted Warbler,Amblycorypha longinicta_Common Virtuoso Katydid,Coccyzus erythropthalmus_Black-billed Cuckoo,Anas platyrhynchos_Mallard,Tamias striatus_Eastern Chipmunk,Nycticorax nycticorax_Black-crowned Night-Heron,Setophaga striata_Blackpoll Warbler,Chordeiles minor_Common Nighthawk,Dryobates villosus_Hairy Woodpecker,Cardellina canadensis_Canada Warbler,Thryothorus ludovicianus_Carolina Wren,Regulus satrapa_Golden-crowned Kinglet,Helmitheros vermivorum_Worm-eating Warbler,Coccyzus americanus_Yellow-billed Cuckoo,Molothrus ater_Brown-headed Cowbird,Vireo solitarius_Blue-headed Vireo,Piranga rubra_Summer Tanager,Gavia immer_Common Loon,Tringa solitaria_Solitary Sandpiper,Buteo platypterus_Broad-winged Hawk,Vermivora chrysoptera_Golden-winged Warbler,Branta canadensis_Canada Goose,Buteo lineatus_Red-shouldered Hawk,Dryobates pubescens_Downy Woodpecker,Melanerpes erythrocephalus_Red-headed Woodpecker,Colaptes auratus_Northern Flicker,Setophaga caerulescens_Black-throated Blue Warbler,Toxostoma rufum_Brown Thrasher,Melospiza lincolnii_Lincoln's Sparrow,Accipiter gentilis_Northern Goshawk,Empidonax alnorum_Alder Flycatcher,Bonasa umbellus_Ruffed Grouse,Dumetella carolinensis_Gray Catbird,Cygnus buccinator_Trumpeter Swan,Certhia americana_Brown Creeper,Mareca strepera_Gadwall,Setophaga coronata_Yellow-rumped Warbler,Ardea herodias_Great Blue Heron,Accipiter striatus_Sharp-shinned Hawk,Icterus galbula_Baltimore Oriole,Polioptila caerulea_Blue-gray Gnatcatcher,Leiothlypis ruficapilla_Nashville Warbler,Dryophytes versicolor_Gray Treefrog,Setophaga pensylvanica_Chestnut-sided Warbler,Euphagus cyanocephalus_Brewer's Blackbird,Parkesia noveboracensis_Northern Waterthrush,Engine_Engine,Megaceryle alcyon_Belted Kingfisher
0.0,3.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,0.6649680733680725,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
