start,end,Haemorhous mexicanus_House Finch,Piranga olivacea_Scarlet Tanager,Salpinctes obsoletus_Rock Wren,file,Seiurus aurocapilla_Ovenbird,Catharus fuscescens_Veery,Vireo olivaceus_Red-eyed Vireo,Antrostomus vociferus_Eastern Whip-poor-will,Regulus satrapa_Golden-crowned Kinglet,Poecile atricapillus_Black-capped Chickadee,Hylocichla mustelina_Wood Thrush,Vireo solitarius_Blue-headed Vireo,Cardinalis cardinalis_Northern Cardinal,Pipilo erythrophthalmus_Eastern Towhee,Scolopax minor_American Woodcock,Fulica americana_American Coot,Bubo virginianus_Great Horned Owl,Lithobates catesbeianus_American Bullfrog,Catharus guttatus_Hermit Thrush,Chordeiles minor_Common Nighthawk,Zonotrichia leucophrys_White-crowned Sparrow,Vireo flavifrons_Yellow-throated Vireo,Turdus migratorius_American Robin,Anas platyrhynchos_Mallard,Pheucticus ludovicianus_Rose-breasted Grosbeak,Dryobates pubescens_Downy Woodpecker,Sitta canadensis_Red-breasted Nuthatch,Sphyrapicus varius_Yellow-bellied Sapsucker,Cyanocitta cristata_Blue Jay,Sayornis saya_Say's Phoebe,Buteo platypterus_Broad-winged Hawk,Sitta carolinensis_White-breasted Nuthatch,Lithobates clamitans_Green Frog,Cardellina canadensis_Canada Warbler,Junco hyemalis_Dark-eyed Junco,Setophaga ruticilla_American Redstart,Dryobates villosus_Hairy Woodpecker,Leiothlypis ruficapilla_Nashville Warbler,Buteo jamaicensis_Red-tailed Hawk,Mniotilta varia_Black-and-white Warbler,Myiarchus crinitus_Great Crested Flycatcher,Setophaga americana_Northern Parula,Certhia americana_Brown Creeper,Setophaga fusca_Blackburnian Warbler,Setophaga virens_Black-throated Green Warbler,Setophaga tigrina_Cape May Warbler,Setophaga striata_Blackpoll Warbler,Setophaga pensylvanica_Chestnut-sided Warbler,Botaurus lentiginosus_American Bittern,Coccothraustes vespertinus_Evening Grosbeak,Baeolophus bicolor_Tufted Titmouse,Piranga rubra_Summer Tanager,Dryocopus pileatus_Pileated Woodpecker,Contopus virens_Eastern Wood-Pewee,Setophaga pinus_Pine Warbler
0.0,3.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,0.5114492774009705,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,0.4984309673309326,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
