start,end,Haemorhous mexicanus_House Finch,Catharus guttatus_Hermit Thrush,file,Hylocichla mustelina_Wood Thrush,Seiurus aurocapilla_Ovenbird,Zonotrichia leucophrys_White-crowned Sparrow,Setophaga virens_Black-throated Green Warbler,Poecile atricapillus_Black-capped Chickadee,Setophaga caerulescens_Black-throated Blue Warbler,Engine_Engine,Sitta canadensis_Red-breasted Nuthatch,Fireworks_Fireworks,Salpinctes obsoletus_Rock Wren,Sitta carolinensis_White-breasted Nuthatch,Geothlypis philadelphia_Mourning Warbler,Tamias striatus_Eastern Chipmunk,Piranga olivacea_Scarlet Tanager,Regulus satrapa_Golden-crowned Kinglet,Turdus migratorius_American Robin,Strix varia_Barred Owl,Vireo olivaceus_Red-eyed Vireo,Certhia americana_Brown Creeper,Anthus rubescens_American Pipit,Cardinalis cardinalis_Northern Cardinal,Coccyzus erythropthalmus_Black-billed Cuckoo,Cardellina canadensis_Canada Warbler,Zonotrichia albicollis_White-throated Sparrow,Cyanocitta cristata_Blue Jay,Bombycilla cedrorum_Cedar Waxwing,Sphyrapicus varius_Yellow-bellied Sapsucker,Buteo lineatus_Red-shouldered Hawk,Setophaga americana_Northern Parula,Dryobates villosus_Hairy Woodpecker,Setophaga striata_Blackpoll Warbler,Haemorhous purpureus_Purple Finch,Dryobates pubescens_Downy Woodpecker,Aegolius acadicus_Northern Saw-whet Owl,Passerina cyanea_Indigo Bunting,Setophaga fusca_Blackburnian Warbler,Melanerpes erythrocephalus_Red-headed Woodpecker,Mniotilta varia_Black-and-white Warbler,Bubo virginianus_Great Horned Owl,Buteo platypterus_Broad-winged Hawk,Setophaga castanea_Bay-breasted Warbler,Baeolophus bicolor_Tufted Titmouse,Junco hyemalis_Dark-eyed Junco,Leiothlypis ruficapilla_Nashville Warbler,Setophaga ruticilla_American Redstart,Helmitheros vermivorum_Worm-eating Warbler,Thryothorus ludovicianus_Carolina Wren,Sialia sialis_Eastern Bluebird,Corvus corax_Common Raven,Molothrus ater_Brown-headed Cowbird,Pheucticus ludovicianus_Rose-breasted Grosbeak,Accipiter cooperii_Cooper's Hawk,Meleagris gallopavo_Wild Turkey,Pipilo erythrophthalmus_Eastern Towhee,Gavia immer_Common Loon,Conocephalus fasciatus_Slender Meadow Katydid,Mareca strepera_Gadwall,Chaetura pelagica_Chimney Swift,Buteo jamaicensis_Red-tailed Hawk
0.0,3.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,0.48723113536834717,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,,0.703454852104187,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,,,20250709_060900.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
